_runtime,train/macro_f1,val/loss,train/acc,_timestamp,evaluation/calibration,epoch,train/loss,trainer/lr,train/weighted_f1,val/acc,phase/name,phase/epoch,evaluation/confusion_matrix_counts,evaluation/confusion_matrix_normalized,val/macro_f1,training/history_table,evaluation/classification_report,_step,val/weighted_f1
38.536607238,0.5411280058133663,0.765776981777615,0.5308823529411765,1775281803.2389266,,1.0,2.3231326046176983,9.829629131445342e-05,0.5411280058133663,0.7894444444444444,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,1.0,,,0.782717382438565,,,1,0.782717382438565
57.278730067,0.7819596015363468,0.6054947858386569,0.7841176470588235,1775281821.7522092,,2.0,0.7766599008148791,9.330127018922195e-05,0.7819596015363467,0.8161111111111111,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,2.0,,,0.8121474238686387,,,2,0.8121474238686387
75.850660826,0.8338327167707071,0.5318644008371565,0.8350980392156863,1775281840.4945297,,3.0,0.5508390065735461,8.535533905932738e-05,0.833832716770707,0.8322222222222222,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,3.0,,,0.8284813003897971,,,3,0.8284813003897972
95.002174385,0.8783951326258411,0.525540972020891,0.878921568627451,1775281859.0665326,,4.0,0.4097761870131773,7.500000000000001e-05,0.8783951326258412,0.8327777777777777,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,4.0,,,0.8307560737876106,,,4,0.8307560737876105
114.347079611,0.9081645335621046,0.5626471092965868,0.9085294117647059,1775281878.2179856,,5.0,0.31299757466596717,6.294095225512605e-05,0.9081645335621047,0.8194444444444444,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,5.0,,,0.8185319065818788,,,5,0.8185319065818789
133.682623263,0.9262315852352856,0.4958174004819658,0.9263725490196079,1775281897.5629876,,6.0,0.24638903762779985,5.000000000000001e-05,0.9262315852352856,0.8427777777777777,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,6.0,,,0.8430137836854444,,,6,0.8430137836854444
152.819187823,0.9462590210920062,0.5098591534296671,0.9463725490196079,1775281916.898565,,7.0,0.193235672899321,3.705904774487398e-05,0.9462590210920062,0.8455555555555555,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,7.0,,,0.8467800166798216,,,7,0.8467800166798217
171.522571918,0.9558592111062035,0.504928494559394,0.9558823529411765,1775281936.0351367,,8.0,0.16402435000036278,2.5000000000000018e-05,0.9558592111062035,0.8461111111111111,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,8.0,,,0.843412649145184,,,8,0.8434126491451841
190.201158081,0.9652298079729569,0.5119959484206306,0.9652941176470589,1775281954.738448,,9.0,0.13290842183080373,1.4644660940672632e-05,0.9652298079729569,0.8461111111111111,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,9.0,,,0.8442507328576372,,,9,0.8442507328576373
208.825593747,0.9690008120897299,0.5012698288758596,0.9690196078431372,1775281973.4171395,,10.0,0.11977719631557371,6.698729810778067e-06,0.9690008120897298,0.8477777777777777,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,10.0,,,0.8460013252754862,,,10,0.8460013252754862
227.430794543,0.9753700199165747,0.4979613546530406,0.975392156862745,1775281992.041473,,11.0,0.0999644481083926,1.7037086855465907e-06,0.9753700199165747,0.8488888888888889,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,11.0,,,0.8481811083423154,,,11,0.8481811083423155
284.925268614,0.9756660490986296,0.49080174777242874,0.9756862745098039,1775282068.1413784,,12.0,0.10199616906105304,0.0,0.9756660490986298,0.8472222222222222,resnet_50_|_full_fine_tuning_for_12_epochs_full_finetune,12.0,,,0.845927116315113,,"{'ncols': 5, 'nrows': 123, '_latest_artifact_path': 'wandb-client-artifact://kob9ay0b38p3liz60yzidykdry822pt5tpgjlrf8hqiqd76kdbylrt3jmmsv07kqe7smugcmw953ohjrtt5ve1xxquuk2p8ahzc5wzccrsjbussprr635ddb1lw2qz71:latest/evaluation/classification_report.table.json', 'path': 'media/table/evaluation/classification_report_12_2730924e6683d0eb4d4f.table.json', 'sha256': '2730924e6683d0eb4d4ff3d1c1108bc7f22a4642ecca82ffe8352c5698e064a8', 'log_mode': 'IMMUTABLE', 'size': 9868, 'artifact_path': 'wandb-client-artifact://vvnfivc21vf0tmtg854nw1ybq4hh3tj9wea2qtadd37jmfvih6z9ccgdrr4asn599098mn1c755yj29sr00vbomfmrsg0baloa8vy6syfdbvirxv4sp8nns4823m0yy5/evaluation/classification_report.table.json', '_type': 'table-file'}",12,0.845927116315113
285.240580843,,,,1775282068.456852,,,,,,,,,"{'sha256': '9072881e88eb216ae7d75785692f76df5ee95ab55d1bdc642701b59e07948d92', 'size': 1562603.0, 'path': 'media/images/evaluation/confusion_matrix_counts_13_9072881e88eb216ae7d7.png', 'height': 4852, 'width': 5414, '_type': 'image-file', 'format': 'png', 'caption': 'ResNet-50 | Full fine-tuning for 12 epochs confusion matrix (counts)'}",,,,,13,
285.538031738,,,,1775282068.7543683,,,,,,,,,,"{'height': 4852, 'format': 'png', 'path': 'media/images/evaluation/confusion_matrix_normalized_14_66ef4d8830014bcf2118.png', 'caption': 'ResNet-50 | Full fine-tuning for 12 epochs confusion matrix (normalized)', 'size': 1873406.0, 'width': 5395, '_type': 'image-file', 'sha256': '66ef4d8830014bcf211883c502ee3f4f87678115eb07a7f7c0be76fb5685ec87'}",,,,14,
286.201575458,,,,1775282069.4179409,,,,,,,,,,,,"{'ncols': 15, 'sha256': 'ba752b3504afd5914821ed15f138ece18b2c3f4ccfea99124567a563e9824cc4', '_latest_artifact_path': 'wandb-client-artifact://t1hoympma5d9h761e1lsdtom7lyii0i9g0taaiqcbiqldavhuf3sc3xf6i8h4ld6ppujjolv3cn0t6nhvvcu7ok0c90h6vu6gnn5icx9kn4djcyczw6g8cp59hv1k1lo:latest/training/history_table.table.json', 'artifact_path': 'wandb-client-artifact://d56jw1ef1q1x4byz5vz4zc78o5sf955x88w7x17d2wigzp9zsfzgn3vi6wev5d13nm6jp6ild90ea9zbjkx3gc9nnmh05er49cc3cgu1jdmw67f03gywk45w3d296t7s/training/history_table.table.json', '_type': 'table-file', 'size': 3584, 'nrows': 12, 'path': 'media/table/training/history_table_15_ba752b3504afd5914821.table.json', 'log_mode': 'IMMUTABLE'}",,15,
286.248791762,,,,1775282069.4652064,"{'size': 190342, 'caption': 'ResNet-50 | Full fine-tuning for 12 epochs calibration', 'height': 984, '_type': 'image-file', 'format': 'png', 'sha256': '2fde97f9d5de1141dc10cb6ae5e525dd63e7694dbba4b6aa3739167e7668b2c4', 'width': 3148, 'path': 'media/images/evaluation/calibration_16_2fde97f9d5de1141dc10.png'}",,,,,,,,,,,,,16,
