,precision,recall,f1-score,support
Chihuahua,0.875,0.9423076923076923,0.9074074074074074,52.0
Japanese spaniel,0.9512195121951219,0.9176470588235294,0.9341317365269461,85.0
Maltese dog,0.9862068965517241,0.9407894736842105,0.9629629629629629,152.0
Pekinese,0.9056603773584906,0.9795918367346939,0.9411764705882353,49.0
Shih-Tzu,0.8688524590163934,0.9298245614035088,0.8983050847457628,114.0
Blenheim spaniel,1.0,0.9545454545454546,0.9767441860465116,88.0
papillon,0.9693877551020408,0.9895833333333334,0.979381443298969,96.0
toy terrier,0.9538461538461539,0.8611111111111112,0.9051094890510949,72.0
Rhodesian ridgeback,0.9142857142857143,0.8888888888888888,0.9014084507042254,72.0
Afghan hound,0.9928571428571429,1.0,0.996415770609319,139.0
basset,0.9333333333333333,0.9333333333333333,0.9333333333333333,75.0
beagle,0.9072164948453608,0.9263157894736842,0.9166666666666666,95.0
bloodhound,0.9655172413793104,0.9655172413793104,0.9655172413793104,87.0
bluetick,0.9583333333333334,0.971830985915493,0.965034965034965,71.0
black-and-tan coonhound,0.9473684210526315,0.9152542372881356,0.9310344827586207,59.0
Walker hound,0.7413793103448276,0.8113207547169812,0.7747747747747747,53.0
English foxhound,0.8823529411764706,0.7894736842105263,0.8333333333333334,57.0
redbone,0.975609756097561,0.8333333333333334,0.898876404494382,48.0
borzoi,0.9807692307692307,1.0,0.9902912621359223,51.0
Irish wolfhound,0.9016393442622951,0.9322033898305084,0.9166666666666666,118.0
Italian greyhound,0.9620253164556962,0.926829268292683,0.9440993788819876,82.0
whippet,0.9010989010989011,0.9425287356321839,0.9213483146067416,87.0
Ibizan hound,0.9880952380952381,0.9431818181818182,0.9651162790697675,88.0
Norwegian elkhound,1.0,0.9895833333333334,0.9947643979057592,96.0
otterhound,0.9423076923076923,0.9607843137254902,0.9514563106796117,51.0
Saluki,0.9797979797979798,0.97,0.9748743718592965,100.0
Scottish deerhound,0.9516129032258065,0.8939393939393939,0.921875,132.0
Weimaraner,0.967741935483871,1.0,0.9836065573770492,60.0
Staffordshire bullterrier,0.8823529411764706,0.8181818181818182,0.8490566037735849,55.0
American Staffordshire terrier,0.8285714285714286,0.90625,0.8656716417910447,64.0
Bedlington terrier,0.9878048780487805,0.9878048780487805,0.9878048780487805,82.0
Border terrier,0.9594594594594594,0.9861111111111112,0.9726027397260274,72.0
Kerry blue terrier,0.987012987012987,0.9620253164556962,0.9743589743589743,79.0
Irish terrier,0.9428571428571428,0.9565217391304348,0.9496402877697842,69.0
Norfolk terrier,0.9027777777777778,0.9027777777777778,0.9027777777777778,72.0
Norwich terrier,0.8928571428571429,0.8823529411764706,0.8875739644970414,85.0
Yorkshire terrier,0.7866666666666666,0.921875,0.8489208633093526,64.0
wire-haired fox terrier,0.9245283018867925,0.8596491228070176,0.8909090909090909,57.0
Lakeland terrier,0.9387755102040817,0.9484536082474226,0.9435897435897436,97.0
Sealyham terrier,0.9900990099009901,0.9803921568627451,0.9852216748768473,102.0
Airedale,0.9611650485436893,0.9705882352941176,0.9658536585365853,102.0
cairn,0.96875,0.9587628865979382,0.9637305699481865,97.0
Australian terrier,0.9157894736842105,0.90625,0.9109947643979057,96.0
Dandie Dinmont,1.0,0.9625,0.9808917197452229,80.0
Boston bull,0.9876543209876543,0.975609756097561,0.9815950920245399,82.0
miniature schnauzer,0.9433962264150944,0.9259259259259259,0.9345794392523364,54.0
giant schnauzer,0.8548387096774194,0.9298245614035088,0.8907563025210085,57.0
standard schnauzer,0.8518518518518519,0.8363636363636363,0.8440366972477065,55.0
Scotch terrier,0.9642857142857143,0.9310344827586207,0.9473684210526315,58.0
Tibetan terrier,0.9065420560747663,0.9150943396226415,0.9107981220657277,106.0
silky terrier,0.9305555555555556,0.8072289156626506,0.864516129032258,83.0
soft-coated wheaten terrier,0.9122807017543859,0.9285714285714286,0.9203539823008849,56.0
West Highland white terrier,0.9305555555555556,0.9710144927536232,0.950354609929078,69.0
Lhasa,0.8888888888888888,0.8372093023255814,0.8622754491017964,86.0
flat-coated retriever,0.8793103448275862,0.9807692307692307,0.9272727272727272,52.0
curly-coated retriever,0.9791666666666666,0.9215686274509803,0.9494949494949495,51.0
golden retriever,0.9795918367346939,0.96,0.9696969696969697,50.0
Labrador retriever,0.9583333333333334,0.971830985915493,0.965034965034965,71.0
Chesapeake Bay retriever,0.9565217391304348,0.9850746268656716,0.9705882352941176,67.0
German short-haired pointer,0.9811320754716981,1.0,0.9904761904761905,52.0
vizsla,0.9137931034482759,0.9814814814814815,0.9464285714285714,54.0
English setter,0.9833333333333333,0.9672131147540983,0.9752066115702479,61.0
Irish setter,0.9649122807017544,1.0,0.9821428571428571,55.0
Gordon setter,1.0,0.9811320754716981,0.9904761904761905,53.0
Brittany spaniel,0.9803921568627451,0.9615384615384616,0.970873786407767,52.0
clumber,0.98,0.98,0.98,50.0
English springer,0.9666666666666667,0.9830508474576272,0.9747899159663865,59.0
Welsh springer spaniel,0.9411764705882353,0.96,0.9504950495049505,50.0
cocker spaniel,0.9354838709677419,0.9830508474576272,0.9586776859504132,59.0
Sussex spaniel,1.0,0.9411764705882353,0.9696969696969697,51.0
Irish water spaniel,0.9433962264150944,1.0,0.970873786407767,50.0
kuvasz,0.9583333333333334,0.92,0.9387755102040817,50.0
schipperke,0.9629629629629629,0.9629629629629629,0.9629629629629629,54.0
groenendael,0.9433962264150944,1.0,0.970873786407767,50.0
malinois,0.9607843137254902,0.98,0.9702970297029703,50.0
briard,0.8524590163934426,1.0,0.9203539823008849,52.0
kelpie,0.847457627118644,0.9433962264150944,0.8928571428571429,53.0
komondor,0.9811320754716981,0.9629629629629629,0.9719626168224299,54.0
Old English sheepdog,0.9714285714285714,0.9855072463768116,0.9784172661870504,69.0
Shetland sheepdog,0.9322033898305084,0.9649122807017544,0.9482758620689655,57.0
collie,0.8043478260869565,0.6981132075471698,0.7474747474747475,53.0
Border collie,0.7843137254901961,0.8,0.7920792079207921,50.0
Bouvier des Flandres,0.9782608695652174,0.9,0.9375,50.0
Rottweiler,0.96,0.9230769230769231,0.9411764705882353,52.0
German shepherd,0.9591836734693877,0.9038461538461539,0.9306930693069307,52.0
Doberman,0.8909090909090909,0.98,0.9333333333333333,50.0
miniature pinscher,0.9411764705882353,0.9523809523809523,0.9467455621301775,84.0
Greater Swiss Mountain dog,0.9166666666666666,0.9705882352941176,0.9428571428571428,68.0
Bernese mountain dog,0.9826086956521739,0.9576271186440678,0.9699570815450643,118.0
Appenzeller,0.7966101694915254,0.9215686274509803,0.8545454545454545,51.0
EntleBucher,0.9578947368421052,0.8921568627450981,0.9238578680203046,102.0
boxer,0.9433962264150944,0.9803921568627451,0.9615384615384616,51.0
bull mastiff,1.0,0.9464285714285714,0.9724770642201835,56.0
Tibetan mastiff,0.98,0.9423076923076923,0.9607843137254902,52.0
French bulldog,1.0,0.9491525423728814,0.9739130434782609,59.0
Great Dane,0.896551724137931,0.9285714285714286,0.9122807017543859,56.0
Saint Bernard,1.0,1.0,1.0,70.0
Eskimo dog,0.48333333333333334,0.58,0.5272727272727272,50.0
malamute,0.8765432098765432,0.9102564102564102,0.8930817610062893,78.0
Siberian husky,0.7564102564102564,0.6413043478260869,0.6941176470588235,92.0
affenpinscher,0.98,0.98,0.98,50.0
basenji,0.9727272727272728,0.981651376146789,0.9771689497716894,109.0
pug,1.0,0.99,0.9949748743718593,100.0
Leonberg,1.0,1.0,1.0,110.0
Newfoundland,0.9473684210526315,0.9473684210526315,0.9473684210526315,95.0
Great Pyrenees,0.9464285714285714,0.9380530973451328,0.9422222222222222,113.0
Samoyed,0.9291338582677166,1.0,0.963265306122449,118.0
Pomeranian,1.0,0.9747899159663865,0.9872340425531915,119.0
chow,0.9894736842105263,0.9791666666666666,0.9842931937172775,96.0
