,precision,recall,f1-score,support
keeshond,1.0,1.0,1.0,58.0
Brabancon griffon,1.0,0.9811320754716981,0.9904761904761905,53.0
Pembroke,0.9418604651162791,1.0,0.9700598802395209,81.0
Cardigan,0.9259259259259259,0.9090909090909091,0.9174311926605505,55.0
toy poodle,0.8627450980392157,0.8627450980392157,0.8627450980392157,51.0
miniature poodle,0.8148148148148148,0.8,0.8073394495412844,55.0
standard poodle,0.9642857142857143,0.9152542372881356,0.9391304347826087,59.0
Mexican hairless,0.9821428571428571,1.0,0.990990990990991,55.0
dingo,0.9245283018867925,0.875,0.8990825688073395,56.0
dhole,0.98,0.98,0.98,50.0
African hunting dog,1.0,1.0,1.0,69.0
accuracy,0.9377622377622378,0.9377622377622378,0.9377622377622378,0.9377622377622378
macro avg,0.9347236834635655,0.9353978661120349,0.9343201336245472,8580.0
weighted avg,0.9391471716874071,0.9377622377622378,0.9377930440380058,8580.0
