train/acc,trainer/lr,val/macro_f1,phase/epoch,epoch,_runtime,train/weighted_f1,train/loss,train/macro_f1,_timestamp,evaluation/calibration,evaluation/confusion_matrix_normalized,_step,evaluation/classification_report,evaluation/confusion_matrix_counts,phase/name,training/history_table,val/acc,val/loss,val/weighted_f1
0.6909803921568628,2.9488887394336025e-05,0.8744124419724828,1.0,1.0,157.948731681,0.6955783432005389,2.0577548210293637,0.6955783432005389,1775282422.6310735,,,1,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.8772222222222222,0.716099206076728,0.8744124419724828
0.9027450980392157,2.7990381056766583e-05,0.8919377283266935,2.0,2.0,236.740814214,0.9018448202431301,0.5048247103831347,0.9018448202431302,1775282501.246326,,,2,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.895,0.46862983862559,0.8919377283266935
0.9362745098039216,2.5606601717798212e-05,0.8998705668589565,3.0,3.0,315.606150227,0.9359163813653636,0.2933263225648917,0.9359163813653635,1775282580.0384705,,,3,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.9011111111111111,0.3912201722462972,0.8998705668589566
0.9600980392156863,2.25e-05,0.8914617868721906,4.0,4.0,394.339388985,0.9600504593304071,0.19009854369303758,0.960050459330407,1775282658.9038231,,,4,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.8938888888888888,0.3869759511947632,0.8914617868721906
0.9715686274509804,1.888228567653781e-05,0.8987015964109465,5.0,5.0,472.88447158500003,0.9715175408402469,0.13370413594970515,0.9715175408402469,1775282737.6370292,,,5,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.8994444444444445,0.36601281656159296,0.8987015964109465
0.9808823529411764,1.5e-05,0.8911293106516406,6.0,6.0,551.429048513,0.9808605023136842,0.10037581141088524,0.9808605023136842,1775282816.1820946,,,6,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.8916666666666667,0.3785339625676473,0.8911293106516407
0.9841176470588235,1.1117714323462191e-05,0.8986317422168004,7.0,7.0,629.946534652,0.9841162419483773,0.07703593692650983,0.9841162419483774,1775282894.7266464,,,7,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.8988888888888888,0.3622426970799764,0.8986317422168004
0.989313725490196,7.500000000000004e-06,0.9071717121166333,8.0,8.0,708.442002791,0.989308704538499,0.06069815280390721,0.9893087045384988,1775282973.244162,,,8,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.9072222222222223,0.3547753530078464,0.9071717121166332
0.9919607843137255,4.393398282201788e-06,0.9079933070810802,9.0,9.0,786.908050017,0.9919585289684034,0.048748324268004475,0.9919585289684033,1775283051.7396019,,,9,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.9077777777777778,0.35965279579162596,0.9079933070810802
0.9930392156862745,2.0096189432334194e-06,0.9099814122277856,10.0,10.0,865.355019158,0.9930395271756257,0.04054635627085672,0.9930395271756256,1775283130.205657,,,10,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.91,0.3475212920705477,0.9099814122277856
0.9947058823529412,5.11112605663977e-07,0.9089031712633316,11.0,11.0,943.803815494,0.9947050681441828,0.034206402344154375,0.9947050681441829,1775283208.6526442,,,11,,,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.9088888888888889,0.35547804680135514,0.9089031712633318
0.9952941176470588,0.0,0.9060291757592284,12.0,12.0,1011.669055565,0.9952949451269661,0.031102004811605986,0.995294945126966,1775283354.9670749,,,12,"{'size': 9833, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://79irelmufxk43idvi1u6yn6chd1j1pdup0cirzmmvhomebuu5h1ruoahx5slv1p643ivx585v034ksmbs95wvtk51caf7433iejvd4793c9k512ze0gvobazv5tylh0i/evaluation/classification_report.table.json', 'ncols': 5, 'path': 'media/table/evaluation/classification_report_12_5ef8ecd3c09914926862.table.json', 'nrows': 123, 'sha256': '5ef8ecd3c09914926862620442423d32ad7cb5ba63ad216b5ef23d96251648dc', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://2qo2uzvjyultlgwx2aosqru9p9naqto7b4wfpenu7i1v2hmn1wd678rjk5to1v3aj1tgu6vkt80w5obdeoz2uekll38j8gyivph72ozr1rlod0ewp9r9bsdj8ebyf1pb:latest/evaluation/classification_report.table.json'}",,vit_b_16_|_full_fine_tuning_for_12_epochs_full_finetune,,0.9061111111111111,0.3536730583508809,0.9060291757592285
,,,,,1011.987286081,,,,1775283355.2852807,,,13,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/evaluation/confusion_matrix_counts_13_9a17390569cac985a665.png', 'size': 1538411.0, 'height': 4852, 'width': 5414, 'sha256': '9a17390569cac985a66553aad74bbfe2179ed94c36700f0ad6acd81c26673f62', 'caption': 'ViT-B/16 | Full fine-tuning for 12 epochs confusion matrix (counts)'}",,,,,
,,,,,1012.287176569,,,,1775283355.5852182,,"{'width': 5395, 'path': 'media/images/evaluation/confusion_matrix_normalized_14_45cc97ba6e074969e9ad.png', 'size': 1828888.0, 'height': 4852, '_type': 'image-file', 'format': 'png', 'sha256': '45cc97ba6e074969e9adc07528ab89d40f737f82af0686ee1d9599c7ad84c372', 'caption': 'ViT-B/16 | Full fine-tuning for 12 epochs confusion matrix (normalized)'}",14,,,,,,,
,,,,,1012.945485779,,,,1775283356.2434912,,,15,,,,"{'size': 3532, 'path': 'media/table/training/history_table_15_7774d7f30218b27097c6.table.json', 'artifact_path': 'wandb-client-artifact://snjr4kn66dxjp4gdl1svldpt6qmljvan8070k300x94qwhp01ede112yyfkzueiki6xfawvqcl2lp8k4rtnmmnt23pgjwg25o5x2u1fwi3ojeplgwbluc7u6u7a8mtni/training/history_table.table.json', 'nrows': 12, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://ezoaa7gnlmeganhrtwmcr4zg301xfqii98v65gwol7h9w6ktk4spjv7eas1t7wur88kj4gtgymbblhasqj21en88k0o3jk0bluv939v96wiq2806s08dmdk7sqzg1nal:latest/training/history_table.table.json', 'sha256': '7774d7f30218b27097c67038c55a2bd710760e841f2d55b899363d354884c468', 'ncols': 15, 'log_mode': 'IMMUTABLE'}",,,
,,,,,1012.994281283,,,,1775283356.292237,"{'height': 984, 'width': 3121, '_type': 'image-file', 'format': 'png', 'path': 'media/images/evaluation/calibration_16_d0871ec4c553b41bbaa0.png', 'sha256': 'd0871ec4c553b41bbaa0a1d914697601e74562e6b04ff1ac314c4632e4c58ee2', 'size': 176363, 'caption': 'ViT-B/16 | Full fine-tuning for 12 epochs calibration'}",,16,,,,,,,
