evaluation/confusion_matrix_counts,_step,epoch,training/history_table,_runtime,trainer/lr,train/acc,phase/epoch,val/macro_f1,val/loss,evaluation/classification_report,evaluation/calibration,_timestamp,train/loss,train/weighted_f1,phase/name,val/weighted_f1,train/macro_f1,evaluation/confusion_matrix_normalized,val/acc
,1,1.0,,37.375238856,0.00075,0.5807843137254902,1.0,0.8041278611687808,1.102774084938897,,,1775282091.955612,2.39313960870107,0.5896246883965487,resnet_50_|_head_3_+_full_fine_tune_8_epochs_head_only,0.804127861168781,0.5896246883965488,,0.8122222222222222
,2,2.0,,55.922780919,0.0002500000000000001,0.8130392156862745,2.0,0.8363806269687182,0.7343490979406568,,,1775282110.530384,0.9247713950568555,0.8112433593702654,resnet_50_|_head_3_+_full_fine_tune_8_epochs_head_only,0.8363806269687182,0.8112433593702654,,0.8394444444444444
,3,3.0,,74.84043447,0.0,0.8608823529411764,3.0,0.8470757491633628,0.6702265495724148,,,1775282129.0779376,0.6912078823762782,0.859994812760203,resnet_50_|_head_3_+_full_fine_tune_8_epochs_head_only,0.8470757491633627,0.8599948127602028,,0.8483333333333334
,4,4.0,,93.539148659,9.619397662556435e-05,0.8557843137254902,1.0,0.8442709451833027,0.4573933646414015,,,1775282147.9955473,0.47414149728475835,0.8553819989936792,resnet_50_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.8442709451833029,0.8553819989936794,,0.8455555555555555
,5,5.0,,112.213562833,8.535533905932738e-05,0.9091176470588235,2.0,0.8405552836773655,0.4667602479457855,,,1775282166.6940525,0.29921624765676613,0.908899157679454,resnet_50_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.8405552836773654,0.9088991576794542,,0.8422222222222222
,6,6.0,,130.81302027,6.91341716182545e-05,0.9354901960784314,3.0,0.843800464682229,0.4923726446098752,,,1775282185.3685422,0.22027387301127116,0.9353956554920585,resnet_50_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.843800464682229,0.9353956554920585,,0.8438888888888889
,7,7.0,,149.434001675,5e-05,0.9545098039215686,4.0,0.8387639723767382,0.4808198720879025,,,1775282203.9681478,0.15685892342936758,0.9544530749653549,resnet_50_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.8387639723767382,0.9544530749653546,,0.84
,8,8.0,,168.29734081,3.086582838174551e-05,0.9666666666666667,5.0,0.845722572454978,0.4781709853808085,,,1775282222.5890937,0.12155054356537613,0.9666143555512273,resnet_50_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.8457225724549781,0.9666143555512271,,0.8472222222222222
,9,9.0,,186.945704128,1.4644660940672627e-05,0.9759803921568627,6.0,0.8501552975966362,0.47112788041432696,,,1775282241.452388,0.09860864033301671,0.9759700850115101,resnet_50_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.8501552975966362,0.9759700850115098,,0.8511111111111112
,10,10.0,,205.62526653,3.8060233744356633e-06,0.981764705882353,7.0,0.8497046632416079,0.44874239477846356,,,1775282260.1007788,0.07668020444465619,0.9817541797061562,resnet_50_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.8497046632416079,0.9817541797061563,,0.8511111111111112
