setting,accuracy,macro_f1,weighted_f1,ece,train_time_s,trainable_params
ResNet-18 | with augmentation,0.7286713286713287,0.7182775706787142,0.7287649148278063,0.05720927883590852,55.5614869594574,11238072
ResNet-18 | no augmentation,0.7334498834498835,0.7239251509230427,0.7345529255121351,0.047650202203950116,37.30631494522095,11238072
ViT-B/16 | with augmentation,0.9127039627039627,0.9072825753935729,0.9127649099799664,0.07325627141499715,139.1469647884369,85890936
ViT-B/16 | no augmentation,0.8989510489510489,0.8946495161059703,0.8994363108957882,0.06331276230618253,138.38554501533508,85890936
