setting,accuracy,macro_f1,weighted_f1,ece,train_time_s,trainable_params
ResNet-18 | freeze backbone,0.7416083916083916,0.7321507062586172,0.7419846664445512,0.14804805097081167,55.883506536483765,61560
ResNet-18 | full fine-tune,0.735897435897436,0.724426143855487,0.7356084318357309,0.0642545757732747,56.194151639938354,11238072
ViT-B/16 | freeze backbone,0.9456876456876457,0.9423412215821394,0.9459156191525189,0.007426982324370693,57.294185638427734,92280
ViT-B/16 | full fine-tune,0.9172494172494172,0.9126967716388615,0.9174200698205096,0.07525117245778476,138.37115120887756,85890936
