Model,Family,Params,Training strategy,Test accuracy,Macro F1,Weighted F1,ECE,Train time (s),Params(M)
ResNet-18,CNN,11238072,Full fine-tuning for 12 epochs,0.7272727272727273,0.71928463328262,0.7282805316752259,0.039444051802783583,166.0998306274414,11.238072
ViT-B/16,Transformer,85890936,Head 3 + full fine-tune 8 epochs,0.9377622377622378,0.9343201336245472,0.9377930440380058,0.01613174252785169,318.85298323631287,85.890936
