,precision,recall,f1-score,support
French bulldog,0.9047619047619048,0.9661016949152542,0.9344262295081968,59.0
Great Dane,0.8222222222222222,0.6607142857142857,0.7326732673267327,56.0
Saint Bernard,0.9857142857142858,0.9857142857142858,0.9857142857142858,70.0
Eskimo dog,0.3333333333333333,0.42,0.37168141592920356,50.0
malamute,0.7631578947368421,0.7435897435897436,0.7532467532467533,78.0
Siberian husky,0.6265060240963856,0.5652173913043478,0.5942857142857143,92.0
affenpinscher,0.9230769230769231,0.96,0.9411764705882353,50.0
basenji,0.9181818181818182,0.926605504587156,0.9223744292237442,109.0
pug,0.9509803921568627,0.97,0.9603960396039604,100.0
Leonberg,0.9811320754716981,0.9454545454545454,0.9629629629629629,110.0
Newfoundland,0.8913043478260869,0.8631578947368421,0.8770053475935828,95.0
Great Pyrenees,0.8461538461538461,0.7787610619469026,0.8110599078341014,113.0
Samoyed,0.888,0.940677966101695,0.9135802469135802,118.0
Pomeranian,0.9736842105263158,0.9327731092436975,0.9527896995708155,119.0
chow,1.0,0.9791666666666666,0.9894736842105263,96.0
keeshond,0.9830508474576272,1.0,0.9914529914529915,58.0
Brabancon griffon,0.9433962264150944,0.9433962264150944,0.9433962264150944,53.0
Pembroke,0.896551724137931,0.9629629629629629,0.9285714285714286,81.0
Cardigan,0.8653846153846154,0.8181818181818182,0.8411214953271028,55.0
toy poodle,0.6904761904761905,0.5686274509803921,0.6236559139784946,51.0
miniature poodle,0.53125,0.6181818181818182,0.5714285714285714,55.0
standard poodle,0.8846153846153846,0.7796610169491526,0.8288288288288288,59.0
Mexican hairless,0.9811320754716981,0.9454545454545454,0.9629629629629629,55.0
dingo,0.8076923076923077,0.75,0.7777777777777778,56.0
dhole,0.9056603773584906,0.96,0.9320388349514563,50.0
African hunting dog,0.9855072463768116,0.9855072463768116,0.9855072463768116,69.0
accuracy,0.8557109557109557,0.8557109557109557,0.8557109557109557,0.8557109557109557
macro avg,0.850980234710126,0.8509297494960163,0.8485431535838359,8580.0
weighted avg,0.8610107315712314,0.8557109557109557,0.8562497313038746,8580.0
