,precision,recall,f1-score,support
Chihuahua,0.7,0.8076923076923077,0.75,52.0
Japanese spaniel,0.927710843373494,0.9058823529411765,0.9166666666666666,85.0
Maltese dog,0.9545454545454546,0.8289473684210527,0.8873239436619719,152.0
Pekinese,0.8,0.8163265306122449,0.8080808080808081,49.0
Shih-Tzu,0.8317757009345794,0.7807017543859649,0.8054298642533937,114.0
Blenheim spaniel,0.9761904761904762,0.9318181818181818,0.9534883720930233,88.0
papillon,0.96875,0.96875,0.96875,96.0
toy terrier,0.8108108108108109,0.8333333333333334,0.821917808219178,72.0
Rhodesian ridgeback,0.7164179104477612,0.6666666666666666,0.6906474820143885,72.0
Afghan hound,0.9716312056737588,0.9856115107913669,0.9785714285714285,139.0
basset,0.8648648648648649,0.8533333333333334,0.8590604026845637,75.0
beagle,0.8666666666666667,0.8210526315789474,0.8432432432432433,95.0
bloodhound,0.95,0.8735632183908046,0.9101796407185628,87.0
bluetick,0.9014084507042254,0.9014084507042254,0.9014084507042254,71.0
black-and-tan coonhound,0.9019607843137255,0.7796610169491526,0.8363636363636363,59.0
Walker hound,0.5932203389830508,0.660377358490566,0.625,53.0
English foxhound,0.6774193548387096,0.7368421052631579,0.7058823529411765,57.0
redbone,0.6101694915254238,0.75,0.6728971962616822,48.0
borzoi,0.9534883720930233,0.803921568627451,0.8723404255319149,51.0
Irish wolfhound,0.8333333333333334,0.847457627118644,0.8403361344537815,118.0
Italian greyhound,0.8068181818181818,0.8658536585365854,0.8352941176470589,82.0
whippet,0.8,0.7816091954022989,0.7906976744186046,87.0
Ibizan hound,0.9512195121951219,0.8863636363636364,0.9176470588235294,88.0
Norwegian elkhound,0.9489795918367347,0.96875,0.9587628865979382,96.0
otterhound,0.92,0.9019607843137255,0.9108910891089109,51.0
Saluki,0.9411764705882353,0.96,0.9504950495049505,100.0
Scottish deerhound,0.9098360655737705,0.8409090909090909,0.8740157480314961,132.0
Weimaraner,0.8695652173913043,1.0,0.9302325581395349,60.0
Staffordshire bullterrier,0.8333333333333334,0.5454545454545454,0.6593406593406593,55.0
American Staffordshire terrier,0.6212121212121212,0.640625,0.6307692307692307,64.0
Bedlington terrier,0.975,0.9512195121951219,0.9629629629629629,82.0
Border terrier,0.8536585365853658,0.9722222222222222,0.9090909090909091,72.0
Kerry blue terrier,0.9444444444444444,0.8607594936708861,0.9006622516556292,79.0
Irish terrier,0.7837837837837838,0.8405797101449275,0.8111888111888111,69.0
Norfolk terrier,0.7432432432432432,0.7638888888888888,0.7534246575342466,72.0
Norwich terrier,0.813953488372093,0.8235294117647058,0.8187134502923976,85.0
Yorkshire terrier,0.5760869565217391,0.828125,0.6794871794871795,64.0
wire-haired fox terrier,0.8541666666666666,0.7192982456140351,0.780952380952381,57.0
Lakeland terrier,0.8631578947368421,0.845360824742268,0.8541666666666666,97.0
Sealyham terrier,0.97,0.9509803921568627,0.9603960396039604,102.0
Airedale,0.8857142857142857,0.9117647058823529,0.8985507246376812,102.0
cairn,0.9130434782608695,0.865979381443299,0.8888888888888888,97.0
Australian terrier,0.8170731707317073,0.6979166666666666,0.7528089887640449,96.0
Dandie Dinmont,0.9156626506024096,0.95,0.9325153374233128,80.0
Boston bull,0.9487179487179487,0.9024390243902439,0.925,82.0
miniature schnauzer,0.78,0.7222222222222222,0.75,54.0
giant schnauzer,0.6805555555555556,0.8596491228070176,0.7596899224806202,57.0
standard schnauzer,0.7017543859649122,0.7272727272727273,0.7142857142857143,55.0
Scotch terrier,0.9433962264150944,0.8620689655172413,0.9009009009009009,58.0
Tibetan terrier,0.7850467289719626,0.7924528301886793,0.7887323943661971,106.0
silky terrier,0.7846153846153846,0.6144578313253012,0.6891891891891891,83.0
soft-coated wheaten terrier,0.8431372549019608,0.7678571428571429,0.8037383177570093,56.0
West Highland white terrier,0.8333333333333334,0.9420289855072463,0.8843537414965986,69.0
Lhasa,0.6631578947368421,0.7325581395348837,0.6961325966850829,86.0
flat-coated retriever,0.7377049180327869,0.8653846153846154,0.7964601769911505,52.0
curly-coated retriever,0.9,0.8823529411764706,0.8910891089108911,51.0
golden retriever,0.8846153846153846,0.92,0.9019607843137255,50.0
Labrador retriever,0.7349397590361446,0.8591549295774648,0.7922077922077922,71.0
Chesapeake Bay retriever,0.8955223880597015,0.8955223880597015,0.8955223880597015,67.0
German short-haired pointer,0.8928571428571429,0.9615384615384616,0.9259259259259259,52.0
vizsla,0.8620689655172413,0.9259259259259259,0.8928571428571429,54.0
English setter,0.9411764705882353,0.7868852459016393,0.8571428571428571,61.0
Irish setter,0.9454545454545454,0.9454545454545454,0.9454545454545454,55.0
Gordon setter,1.0,0.9245283018867925,0.9607843137254902,53.0
Brittany spaniel,0.9387755102040817,0.8846153846153846,0.9108910891089109,52.0
clumber,0.9183673469387755,0.9,0.9090909090909091,50.0
English springer,0.9047619047619048,0.9661016949152542,0.9344262295081968,59.0
Welsh springer spaniel,0.9361702127659575,0.88,0.9072164948453608,50.0
cocker spaniel,0.9272727272727272,0.864406779661017,0.8947368421052632,59.0
Sussex spaniel,0.96,0.9411764705882353,0.9504950495049505,51.0
Irish water spaniel,0.8571428571428571,0.96,0.9056603773584906,50.0
kuvasz,0.7288135593220338,0.86,0.7889908256880734,50.0
schipperke,0.8666666666666667,0.9629629629629629,0.9122807017543859,54.0
groenendael,0.9433962264150944,1.0,0.970873786407767,50.0
malinois,0.7619047619047619,0.96,0.8495575221238938,50.0
briard,0.7121212121212122,0.9038461538461539,0.7966101694915254,52.0
kelpie,0.7692307692307693,0.7547169811320755,0.7619047619047619,53.0
komondor,0.9444444444444444,0.9444444444444444,0.9444444444444444,54.0
Old English sheepdog,0.953125,0.8840579710144928,0.9172932330827067,69.0
Shetland sheepdog,0.8793103448275862,0.8947368421052632,0.8869565217391304,57.0
collie,0.717391304347826,0.6226415094339622,0.6666666666666666,53.0
Border collie,0.7169811320754716,0.76,0.7378640776699029,50.0
Bouvier des Flandres,0.8297872340425532,0.78,0.8041237113402062,50.0
Rottweiler,0.9230769230769231,0.9230769230769231,0.9230769230769231,52.0
German shepherd,1.0,0.75,0.8571428571428571,52.0
Doberman,0.8148148148148148,0.88,0.8461538461538461,50.0
miniature pinscher,0.8764044943820225,0.9285714285714286,0.9017341040462428,84.0
Greater Swiss Mountain dog,0.8108108108108109,0.8823529411764706,0.8450704225352113,68.0
Bernese mountain dog,0.970873786407767,0.847457627118644,0.9049773755656109,118.0
Appenzeller,0.65625,0.8235294117647058,0.7304347826086957,51.0
EntleBucher,0.8584905660377359,0.8921568627450981,0.875,102.0
boxer,0.8,0.8627450980392157,0.8301886792452831,51.0
bull mastiff,0.8412698412698413,0.9464285714285714,0.8907563025210085,56.0
Tibetan mastiff,0.9375,0.8653846153846154,0.9,52.0
